DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
46:33.9,29500,821
46:34.7,29500,821
46:38.9,30000,822
46:39.7,30000,822
46:44.0,30500,822
46:44.7,30500,822
46:49.0,30500,823
46:49.7,30500,823
46:54.0,31000,823
46:54.7,31000,823
46:59.0,31500,823
46:59.7,31500,823
47:04.0,31500,823
47:04.7,31500,823
47:09.0,32000,823
47:09.8,32000,823
47:14.0,32000,823
47:14.8,32000,823
47:19.0,32500,823
47:19.8,32500,823
47:24.0,32500,823
47:24.8,32500,823
47:29.0,32500,823
47:29.8,32500,823
47:34.0,33000,823
47:34.8,33000,823
47:39.0,33000,823
47:39.8,33000,823
47:44.0,33000,823
47:44.8,33000,823
47:49.1,33500,823
47:49.8,33500,822
47:54.1,33500,823
47:54.8,33500,823
47:59.1,33500,822
47:59.8,33500,822
48:04.1,34000,822
48:04.8,34000,823
48:09.1,34000,822
48:09.8,34000,822
48:14.1,34000,823
48:14.9,34000,823
48:19.1,34500,822
48:19.9,34500,822
48:24.1,34500,823
48:24.9,34500,822
48:29.1,34500,823
48:29.9,34500,822
48:34.1,35000,823
48:34.9,35000,823
48:39.1,35000,823
48:39.9,35000,823
48:44.1,35000,823
48:44.9,35000,823
48:49.2,35500,823
48:49.9,35500,823
48:54.2,35500,823
48:54.9,35500,823
48:59.2,36000,823
48:59.9,36000,824
49:04.2,36000,825
49:04.9,36000,824
49:09.2,36500,825
49:10.0,36500,825
49:14.2,36500,825
49:15.0,36500,825
49:19.2,36500,825
49:20.0,36500,825
49:24.2,37000,825
49:25.0,37000,826
49:29.2,37000,826
49:30.0,37000,826
49:34.2,37500,827
49:35.0,37500,827
49:39.2,37500,827
49:40.0,37500,827
49:44.2,38000,828
49:45.0,38000,828
49:49.2,38000,828
49:50.0,38000,828
49:54.3,38500,829
49:55.0,38500,829
49:59.3,39000,829
50:00.0,39000,829
50:04.3,39000,830
50:05.0,39000,830
50:09.3,39500,831
50:10.0,39500,831
50:14.3,39500,831
50:15.1,39500,831
50:19.3,40000,832
50:20.1,40000,832
50:24.3,40000,833
50:25.1,40000,833
50:29.3,40500,834
50:30.1,40500,834
50:34.3,41000,835
50:35.1,41000,834
50:39.3,41000,836
50:40.1,41000,836
50:44.3,41500,836
50:45.1,41500,837
50:49.3,41500,838
50:50.1,42000,838
50:54.4,42000,838
50:55.1,42000,838
50:59.4,42500,839
51:00.1,42500,839
51:04.4,42500,841
51:05.1,42500,841
51:09.4,43000,842
51:10.1,43000,842
51:14.4,43500,842
51:15.1,43500,842
51:19.4,43500,844
51:20.1,43500,844
51:24.4,44000,845
51:25.2,44000,845
51:29.4,44500,846
51:30.2,44500,846
51:34.4,44500,847
51:35.2,44500,847
51:39.4,45000,848
51:40.2,45000,848
51:44.4,45500,850
51:45.2,45500,849
51:49.4,45500,850
51:50.2,45500,851
51:54.4,46000,852
51:55.2,46000,852
51:59.5,46500,853
52:00.2,46500,853
52:04.4,46500,854
52:05.2,46500,854
52:09.5,47000,855
52:10.2,47000,855
52:14.5,47500,856
52:15.2,47500,856
52:19.5,47500,858
52:20.2,47500,858
52:24.5,48000,859
52:25.2,48000,859
52:29.5,48000,861
52:30.3,48500,861
52:34.5,48500,861
52:35.3,48500,862
52:39.5,49000,863
52:40.3,49000,863
52:44.5,49000,864
52:45.3,49000,865
52:49.5,49500,866
52:50.3,49500,866
52:54.5,50000,867
52:55.3,50000,867
52:59.5,50000,869
53:00.3,50000,869
53:04.5,50500,870
53:05.3,50500,870
53:09.6,50500,871
53:10.3,50500,872
53:14.6,51000,872
53:15.3,51000,873
53:19.6,51500,874
53:20.3,51500,874
53:24.6,51500,875
