DateTime,EraBimOscillatorVCurrentMilliV,EraBimPowerOutMilliV,EraBimPower1GHzMilliV,EraBimSupply5V9MilliV,EraBimSupply4V1MilliV,EraTemperatureMilliDegC,RxBimIChannelMilliV,RxBimQChannelMilliV,UcBimTxInputMilliV,UcBimTxOutputMilliV,UcTemperatureMilliDegC,UcBimVtVcoMilliV_128
2021-09-10 08:44:01.422,412,650,645,2364,2011,30000,59,43,1734,1737,744,1210
2021-09-10 08:44:06.413,408,650,645,2363,2011,30000,59,45,1735,1737,745,1209
2021-09-10 08:44:11.435,404,650,645,2364,2011,30500,59,46,1735,1737,745,1210
2021-09-10 08:44:16.426,400,651,646,2364,2011,31000,59,47,1736,1737,747,1210
2021-09-10 08:44:21.428,397,651,645,2363,2011,31500,59,48,1737,1736,747,1210
2021-09-10 08:44:26.440,393,651,646,2364,2011,31500,59,49,1737,1736,748,1210
2021-09-10 08:44:31.451,391,651,646,2364,2011,32000,60,50,1738,1736,749,1210
2021-09-10 08:44:36.441,388,651,646,2364,2011,32500,60,51,1739,1735,750,1210
2021-09-10 08:44:41.453,386,651,647,2364,2011,32500,59,50,1739,1735,751,1210
2021-09-10 08:44:46.465,383,651,647,2363,2011,33000,60,51,1740,1735,752,1210
2021-09-10 08:44:51.467,381,652,647,2364,2012,33500,60,53,1741,1735,753,1210
2021-09-10 08:44:56.447,379,652,647,2364,2012,34000,60,53,1742,1735,754,1210
2021-09-10 08:45:01.448,377,652,648,2364,2012,34000,60,52,1742,1735,755,1210
2021-09-10 08:45:06.450,375,652,648,2364,2012,34500,60,51,1743,1735,756,1211
2021-09-10 08:45:11.461,373,653,648,2364,2012,35000,60,51,1744,1734,757,1211
2021-09-10 08:45:16.462,372,653,648,2364,2012,35000,60,50,1744,1734,758,1212
2021-09-10 08:45:21.464,370,653,649,2364,2012,35500,60,48,1745,1734,759,1212
2021-09-10 08:45:26.467,368,653,650,2364,2012,36000,60,47,1746,1734,761,1212
2021-09-10 08:45:31.448,366,653,650,2364,2012,36000,60,45,1747,1733,762,1212
2021-09-10 08:45:36.468,365,653,650,2364,2012,36500,60,43,1748,1734,763,1212
2021-09-10 08:45:41.459,363,653,650,2364,2012,37000,59,40,1748,1733,764,1212
2021-09-10 08:45:46.490,361,654,651,2364,2012,37000,59,37,1749,1732,765,1212
2021-09-10 08:45:51.491,360,654,651,2364,2012,37500,59,34,1750,1732,767,1212
2021-09-10 08:45:56.482,358,654,651,2364,2012,38000,58,31,1751,1732,768,1212
2021-09-10 08:46:01.482,357,654,652,2363,2012,38500,57,28,1752,1732,769,1212
2021-09-10 08:46:06.483,355,654,652,2364,2012,38500,56,25,1753,1732,771,1213
2021-09-10 08:46:11.485,354,654,653,2364,2012,39000,54,23,1754,1731,772,1213
2021-09-10 08:46:16.496,353,654,653,2364,2012,39500,51,21,1755,1731,774,1213
2021-09-10 08:46:21.487,351,655,653,2364,2012,40000,48,19,1755,1730,775,1213
2021-09-10 08:46:26.488,350,655,654,2364,2012,40000,43,18,1757,1730,776,1213
2021-09-10 08:46:31.500,348,655,654,2364,2012,40500,37,17,1757,1730,778,1213
2021-09-10 08:46:36.511,347,655,654,2364,2012,41000,30,16,1759,1730,780,1213
2021-09-10 08:46:41.512,346,656,655,2364,2012,41000,23,15,1759,1729,781,1214
2021-09-10 08:46:46.512,344,656,656,2363,2012,41500,18,15,1760,1729,782,1213
2021-09-10 08:46:51.513,343,656,656,2364,2012,42000,16,15,1760,1729,784,1214
2021-09-10 08:46:56.515,341,656,656,2364,2012,42500,16,15,1762,1728,786,1214
2021-09-10 08:47:01.527,339,656,657,2363,2012,42500,17,15,1763,1728,787,1214
2021-09-10 08:47:06.508,338,656,657,2364,2012,43000,18,15,1763,1727,789,1215
2021-09-10 08:47:11.519,336,656,657,2363,2012,43500,20,15,1765,1727,791,1215
2021-09-10 08:47:16.531,335,657,659,2364,2012,43500,21,15,1766,1727,792,1215
2021-09-10 08:47:21.531,333,657,659,2363,2012,44000,23,15,1766,1726,794,1215
2021-09-10 08:47:26.551,332,657,659,2363,2012,44500,25,16,1768,1726,795,1215
2021-09-10 08:47:31.552,330,657,660,2363,2012,45000,26,16,1768,1726,797,1215
2021-09-10 08:47:36.544,329,657,661,2363,2012,45000,28,16,1769,1726,799,1215
2021-09-10 08:47:41.565,327,658,661,2363,2012,45500,29,17,1770,1726,801,1216
2021-09-10 08:47:46.557,326,658,661,2363,2012,46000,31,17,1771,1724,803,1216
2021-09-10 08:47:51.558,324,658,662,2363,2012,46000,32,17,1772,1724,804,1216
2021-09-10 08:47:56.560,323,658,662,2363,2012,46500,35,17,1773,1724,806,1217
2021-09-10 08:48:01.560,321,659,662,2363,2012,47000,36,17,1774,1724,808,1217
2021-09-10 08:48:06.541,320,659,663,2363,2012,47000,38,17,1774,1724,809,1217
2021-09-10 08:48:11.562,319,659,664,2363,2012,47500,40,17,1776,1723,811,1217
2021-09-10 08:48:16.572,317,659,664,2363,2012,48000,42,17,1777,1723,812,1217
2021-09-10 08:48:21.573,316,659,664,2363,2012,48000,43,17,1777,1723,814,1217
2021-09-10 08:48:26.565,314,659,665,2364,2012,48500,45,17,1778,1722,816,1217
2021-09-10 08:48:31.567,313,659,665,2363,2012,49000,46,18,1779,1722,817,1217
2021-09-10 08:48:36.567,312,659,665,2363,2012,49000,48,18,1781,1721,820,1218
2021-09-10 08:48:41.568,310,660,666,2363,2012,49500,49,18,1781,1721,821,1218
2021-09-10 08:48:46.569,310,660,667,2363,2012,50000,50,18,1782,1721,823,1218
2021-09-10 08:48:51.570,308,660,667,2363,2012,50000,51,18,1782,1721,825,1218
2021-09-10 08:48:56.581,307,660,667,2363,2012,50500,53,18,1784,1720,826,1218
2021-09-10 08:49:01.592,305,661,668,2363,2013,50500,53,18,1784,1720,828,1218
2021-09-10 08:49:06.592,304,661,668,2363,2012,51000,54,18,1785,1719,830,1219
2021-09-10 08:49:11.583,303,661,668,2363,2012,51000,55,18,1786,1719,831,1219
2021-09-10 08:49:16.585,302,661,669,2363,2012,51500,56,18,1787,1719,833,1219
2021-09-10 08:49:21.577,300,661,670,2363,2012,52000,57,18,1788,1719,835,1220
2021-09-10 08:49:26.578,299,661,670,2363,2012,52000,58,18,1788,1718,837,1220
2021-09-10 08:49:31.590,298,661,670,2363,2012,52500,59,18,1789,1718,838,1220
2021-09-10 08:49:36.591,297,662,671,2363,2013,52500,59,18,1789,1717,840,1220
2021-09-10 08:49:41.591,296,662,671,2363,2012,53000,60,18,1791,1717,842,1220
2021-09-10 08:49:46.592,295,662,671,2363,2013,53000,61,18,1791,1718,844,1220
2021-09-10 08:49:51.593,294,662,671,2363,2013,53500,61,18,1792,1716,845,1221
2021-09-10 08:49:56.614,292,662,672,2363,2012,53500,62,18,1793,1716,847,1221
2021-09-10 08:50:01.625,291,662,673,2363,2012,54000,63,18,1794,1716,848,1221
2021-09-10 08:50:06.627,290,662,673,2363,2012,54000,63,18,1795,1716,850,1221
2021-09-10 08:50:11.638,289,662,673,2364,2013,54500,64,18,1795,1715,852,1221
2021-09-10 08:50:16.638,288,663,673,2363,2012,54500,64,18,1795,1715,853,1221
2021-09-10 08:50:21.640,287,663,674,2363,2012,55000,64,18,1796,1715,855,1221
2021-09-10 08:50:26.642,286,662,675,2363,2012,55000,64,18,1797,1715,856,1221
2021-09-10 08:50:31.652,285,663,675,2363,2013,55500,65,18,1798,1715,858,1222
2021-09-10 08:50:36.662,284,664,675,2363,2012,55500,65,18,1799,1714,860,1222
2021-09-10 08:50:41.664,283,663,676,2364,2012,56000,65,18,1799,1713,862,1222
2021-09-10 08:50:46.666,282,663,676,2363,2012,56000,65,19,1800,1713,863,1223
2021-09-10 08:50:51.648,281,664,676,2364,2012,56000,65,18,1800,1713,864,1223
2021-09-10 08:50:56.669,280,664,676,2363,2012,56500,65,19,1801,1713,866,1223
2021-09-10 08:51:01.660,280,664,676,2364,2013,56500,66,19,1801,1713,867,1223
2021-09-10 08:51:06.662,278,664,677,2363,2013,57000,66,18,1802,1712,869,1223
2021-09-10 08:51:11.672,278,664,677,2364,2013,57000,66,19,1802,1712,870,1223
2021-09-10 08:51:16.673,277,664,678,2364,2012,57000,66,19,1802,1712,872,1223
2021-09-10 08:51:21.675,276,664,678,2364,2013,57500,66,19,1803,1712,874,1223
2021-09-10 08:51:26.687,275,664,678,2363,2013,57500,66,19,1804,1711,875,1223
2021-09-10 08:51:31.699,275,664,678,2363,2013,57500,67,19,1804,1711,876,1223
2021-09-10 08:51:36.700,275,664,678,2363,2013,57500,67,19,1805,1710,877,1224
2021-09-10 08:51:41.701,274,664,678,2363,2013,58000,67,19,1806,1710,879,1224
2021-09-10 08:51:46.702,273,664,678,2363,2012,58000,67,19,1806,1710,880,1224
2021-09-10 08:51:51.702,273,664,679,2363,2013,58000,67,19,1806,1710,881,1224
